"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptpn13",3.53025109919299e-92,-2.75174649823361,0.035,0.146,1.13974156737446e-87
"Gm26652",4.38940592535826e-92,-2.88802047012405,0.012,0.111,1.41711970300191e-87
"Sirpa",1.65386612961687e-91,-1.40240693243741,0.29,0.424,5.33950679946807e-87
"Scrt1",2.83887039503537e-91,1.15991298094484,0.301,0.182,9.1652930703717e-87
"Aldh1l1",4.68087360207251e-91,-3.88006783729591,0.018,0.119,1.51122004242911e-86
"Kank1",1.56089984705497e-90,-4.82579381247047,0.013,0.109,5.03936515621698e-86
"Mapk11",1.56361738851061e-90,-1.36649975806253,0.048,0.168,5.0481387388065e-86
"Gsg1l",1.98645664049974e-90,-2.12537331477888,0.062,0.182,6.41327526385341e-86
"Tpcn1",3.13715430036393e-90,-1.96284080714402,0.061,0.182,1.0128302658725e-85
"Ednrb",3.76440284511627e-90,-3.495079086097,0.035,0.142,1.21533745854579e-85
"Dgkb",1.88794313767037e-89,-1.50404474144915,0.318,0.441,6.09522441996878e-85
"Chst11",2.42878709145026e-89,-1.07056995679041,0.234,0.388,7.84133912474718e-85
"Add3",3.21849851417739e-89,-1.12283281470899,0.368,0.508,1.03909224530217e-84
"Lhfpl2",3.49195623133932e-89,-2.76572751713119,0.041,0.152,1.1273780692879e-84
"Bicc1",5.51403824155784e-89,-2.39344028295909,0.102,0.228,1.78020724628695e-84
"Gm34544",6.34804520130504e-89,-4.08212102405572,0.015,0.113,2.04946639324133e-84
"Zmiz1os1",8.19958804799771e-89,-1.11567381804343,0.079,0.211,2.64723700129606e-84
"Tom1l1",9.48342354491708e-89,-1.71445378137839,0.073,0.198,3.06172329147648e-84
"Synj2",1.32860264804373e-88,-1.89247317762788,0.078,0.203,4.28939364920919e-84
"Ccn3",2.82341636079901e-88,-1.2553331702179,0.094,0.227,9.11539972083959e-84
"Rmst",9.03084589744117e-88,-1.82547362386113,0.048,0.162,2.91560859798888e-83
"0610040J01Rik",1.32491615709324e-87,-3.30443023110652,0.034,0.14,4.27749181317551e-83
"Tcf7l1",1.49625340645124e-87,-3.86056609502157,0.01,0.103,4.83065412272784e-83
"Rftn1",1.70286018682291e-87,1.06576316097511,0.159,0.071,5.49768411315777e-83
"Per3",2.62699504895195e-87,-2.23927526185827,0.057,0.173,8.48125351554138e-83
"Zfp804b",3.59172421863755e-87,1.35062506625592,0.334,0.217,1.15958816398713e-82
"Ctnna1",4.44888883979767e-87,-1.31027518945471,0.182,0.323,1.43632376192868e-82
"Galnt14",4.93488962571399e-87,1.04945049077362,0.315,0.193,1.59322911566176e-82
"Srrm4os",7.85309397801206e-87,1.04844420197059,0.314,0.196,2.53537139080119e-82
"Col9a3",1.05729644248227e-86,-2.20153554035578,0.027,0.13,3.41348156455401e-82
"Wnt4",1.19067298295482e-86,-2.08802952883375,0.038,0.148,3.84408772546963e-82
"Mcf2",3.53191940845038e-86,1.38689759352166,0.138,0.058,1.14028018101821e-81
"Frmpd3",7.81609433072073e-86,1.23560524334985,0.275,0.165,2.52342605467319e-81
"Fam131a",9.86918951782364e-86,-1.02009762222267,0.189,0.33,3.18626783582936e-81
"Sstr2",1.98514535344152e-85,-2.23922270947806,0.044,0.154,6.40904177358593e-81
"Gm36251",3.64499212020638e-85,-3.17813222206646,0.012,0.105,1.17678570600863e-80
"Bmp1",4.59323752585314e-85,-1.29870308341156,0.057,0.176,1.48292673522169e-80
"Znrf2",4.71358793014134e-85,-1.19590127139771,0.284,0.423,1.52178186324613e-80
